"REF_DATE","GEO","DGUID","Institution type","Program type","Credential type","Field of study","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1992","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","235932","","","","0"
"1993","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","243663","","","","0"
"1994","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","250605","","","","0"
"1995","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","257301","","","","0"
"1996","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","263598","","","","0"
"1997","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","264849","","","","0"
"1998","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","260505","","","","0"
"1999","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","265671","","","","0"
"2000","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","317844","","","","0"
"2001","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","322884","","","","0"
"2002","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","338469","","","","0"
"2003","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","357933","","","","0"
"2004","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","376401","","","","0"
"2005","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","377370","","","","0"
"2006","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","389949","","","","0"
"2007","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","410031","","","","0"
"2008","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","406089","","","","0"
"2009","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","431301","","","","0"
"2010","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","447780","","","","0"
"2011","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","467037","","","","0"
"2012","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","478848","","","","0"
"2013","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","504252","","","","0"
"2014","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","519180","","","","0"
"2015","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","533913","","","","0"
"2016","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","531684","","","","0"
"2017","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","543519","","","","0"
"2018","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","564732","","","","0"
"2019","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","586959","","","","0"
"2020","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","590277","","","","0"
"2021","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender","Number","223","units","0","v79575621","1.1.1.1.1.1","634431","","","","0"
"1992","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","12","","","","0"
"1993","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","24","","","","0"
"1994","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","9","","","","0"
"1995","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","24","","","","0"
"1996","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","12","","","","0"
"1997","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","69","","","","0"
"1998","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","120","","","","0"
"1999","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","81","","","","0"
"2000","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","120","","","","0"
"2001","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","204","","","","0"
"2002","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","195","","","","0"
"2003","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","207","","","","0"
"2004","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","300","","","","0"
"2005","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","309","","","","0"
"2006","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","465","","","","0"
"2007","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","378","","","","0"
"2008","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","1302","","","","0"
"2009","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","2505","","","","0"
"2010","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","2976","","","","0"
"2011","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","2496","","","","0"
"2012","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","2475","","","","0"
"2013","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","2790","","","","0"
"2014","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","2625","","","","0"
"2015","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","1929","","","","0"
"2016","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","1521","","","","0"
"2017","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","1737","","","","0"
"2018","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","1632","","","","0"
"2019","Canada","2016A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, gender","Number","223","units","0","v79575625","1.1.1.1.2.1","1155","","","","0"
