REF_DATE,GEO,DGUID,Institution type,Program type,Credential type,Field of study,Gender,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021,Alberta,2016A000248,"Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, gender",Number,223,units,0,v79595344,10.1.1.1.7.1,11115,,,,0
2021,British Columbia,2016A000259,"Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, gender",Number,223,units,0,v79597564,11.1.1.1.7.1,18108,,,,0
2021,Manitoba,2016A000246,"Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, gender",Number,223,units,0,v79591536,8.1.1.1.7.1,2343,,,,0
2021,New Brunswick,2016A000213,"Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, gender",Number,223,units,0,v79585031,5.1.1.1.7.1,1785,,,,0
2021,Newfoundland and Labrador,2016A000210,"Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, gender",Number,223,units,0,v79580339,2.1.1.1.10.1,1287,,,,0
2021,Nova Scotia,2016A000212,"Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, gender",Number,223,units,0,v79583040,4.1.1.1.7.1,3303,,,,0
2021,Ontario,2016A000235,"Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, gender",Number,223,units,0,v79588557,7.1.1.1.7.1,79668,,,,0
2021,Prince Edward Island,2016A000211,"Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, gender",Number,223,units,0,v79581997,3.1.1.1.7.1,540,,,,0
2021,Quebec,2016A000224,"Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, gender",Number,223,units,0,v79586504,6.1.1.1.7.1,39432,,,,0
2021,Saskatchewan,2016A000247,"Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, gender",Number,223,units,0,v79593376,9.1.1.1.7.1,2736,,,,0
2021,Territories,2016A00016,"Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, gender",Number,223,units,0,v79600836,12.1.1.1.7.1,228,,,,0
