REF_DATE,GEO,DGUID,Institution type,Program type,Credential type,Field of study,Gender,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021,Newfoundland and Labrador,2016A000210,"Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender",Number,223,units,0,v79580305,2.1.1.1.1.1,6363,,,,0
2021,Newfoundland and Labrador,2016A000210,"Total, institution type","Total, program type","Total, credential type",Personal improvement and leisure [0],"Total, gender",Number,223,units,0,v79580309,2.1.1.1.2.1,9,,,,0
2021,Newfoundland and Labrador,2016A000210,"Total, institution type","Total, program type","Total, credential type",Education [1],"Total, gender",Number,223,units,0,v79580312,2.1.1.1.3.1,570,,,,0
2021,Newfoundland and Labrador,2016A000210,"Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender",Number,223,units,0,v79580316,2.1.1.1.4.1,171,,,,0
2021,Newfoundland and Labrador,2016A000210,"Total, institution type","Total, program type","Total, credential type",Humanities [3],"Total, gender",Number,223,units,0,v79580319,2.1.1.1.5.1,255,,,,0
2021,Newfoundland and Labrador,2016A000210,"Total, institution type","Total, program type","Total, credential type",Social and behavioural sciences and law [4],"Total, gender",Number,223,units,0,v79580323,2.1.1.1.6.1,648,,,,0
2021,Newfoundland and Labrador,2016A000210,"Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, gender",Number,223,units,0,v79580327,2.1.1.1.7.1,1062,,,,0
2021,Newfoundland and Labrador,2016A000210,"Total, institution type","Total, program type","Total, credential type",Physical and life sciences and technologies [6],"Total, gender",Number,223,units,0,v79580331,2.1.1.1.8.1,342,,,,0
2021,Newfoundland and Labrador,2016A000210,"Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, gender",Number,223,units,0,v79580335,2.1.1.1.9.1,315,,,,0
2021,Newfoundland and Labrador,2016A000210,"Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, gender",Number,223,units,0,v79580339,2.1.1.1.10.1,1287,,,,0
2021,Newfoundland and Labrador,2016A000210,"Total, institution type","Total, program type","Total, credential type","Agriculture, natural resources and conservation [9]","Total, gender",Number,223,units,0,v79580343,2.1.1.1.11.1,135,,,,0
2021,Newfoundland and Labrador,2016A000210,"Total, institution type","Total, program type","Total, credential type",Health and related fields [10],"Total, gender",Number,223,units,0,v79580346,2.1.1.1.12.1,1017,,,,0
2021,Newfoundland and Labrador,2016A000210,"Total, institution type","Total, program type","Total, credential type","Personal, protective and transportation services [11]","Total, gender",Number,223,units,0,v79580350,2.1.1.1.13.1,198,,,,0
2021,Newfoundland and Labrador,2016A000210,"Total, institution type","Total, program type","Total, credential type",Other  [12],"Total, gender",Number,223,units,0,v79580353,2.1.1.1.14.1,309,,,,0
2021,Newfoundland and Labrador,2016A000210,"Total, institution type","Total, program type","Total, credential type",Unclassified,"Total, gender",Number,223,units,0,v1138287944,2.1.1.1.15.1,45,,,,0
2021,Prince Edward Island,2016A000211,"Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender",Number,223,units,0,v79581980,3.1.1.1.1.1,2214,,,,0
2021,Prince Edward Island,2016A000211,"Total, institution type","Total, program type","Total, credential type",Education [1],"Total, gender",Number,223,units,0,v79581984,3.1.1.1.3.1,192,,,,0
2021,Prince Edward Island,2016A000211,"Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender",Number,223,units,0,v79581987,3.1.1.1.4.1,69,,,,0
2021,Prince Edward Island,2016A000211,"Total, institution type","Total, program type","Total, credential type",Humanities [3],"Total, gender",Number,223,units,0,v79581991,3.1.1.1.5.1,39,,,,0
2021,Prince Edward Island,2016A000211,"Total, institution type","Total, program type","Total, credential type",Social and behavioural sciences and law [4],"Total, gender",Number,223,units,0,v79581994,3.1.1.1.6.1,249,,,,0
2021,Prince Edward Island,2016A000211,"Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, gender",Number,223,units,0,v79581997,3.1.1.1.7.1,540,,,,0
2021,Prince Edward Island,2016A000211,"Total, institution type","Total, program type","Total, credential type",Physical and life sciences and technologies [6],"Total, gender",Number,223,units,0,v79582001,3.1.1.1.8.1,120,,,,0
2021,Prince Edward Island,2016A000211,"Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, gender",Number,223,units,0,v79582004,3.1.1.1.9.1,87,,,,0
2021,Prince Edward Island,2016A000211,"Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, gender",Number,223,units,0,v79582008,3.1.1.1.10.1,255,,,,0
2021,Prince Edward Island,2016A000211,"Total, institution type","Total, program type","Total, credential type","Agriculture, natural resources and conservation [9]","Total, gender",Number,223,units,0,v79582012,3.1.1.1.11.1,48,,,,0
2021,Prince Edward Island,2016A000211,"Total, institution type","Total, program type","Total, credential type",Health and related fields [10],"Total, gender",Number,223,units,0,v79582015,3.1.1.1.12.1,441,,,,0
2021,Prince Edward Island,2016A000211,"Total, institution type","Total, program type","Total, credential type","Personal, protective and transportation services [11]","Total, gender",Number,223,units,0,v79582019,3.1.1.1.13.1,174,,,,0
2021,Prince Edward Island,2016A000211,"Total, institution type","Total, program type","Total, credential type",Other  [12],"Total, gender",Number,223,units,0,v79582023,3.1.1.1.14.1,0,,,,0
2021,Nova Scotia,2016A000212,"Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender",Number,223,units,0,v79583017,4.1.1.1.1.1,16845,,,,0
2021,Nova Scotia,2016A000212,"Total, institution type","Total, program type","Total, credential type",Personal improvement and leisure [0],"Total, gender",Number,223,units,0,v79583021,4.1.1.1.2.1,66,,,,0
2021,Nova Scotia,2016A000212,"Total, institution type","Total, program type","Total, credential type",Education [1],"Total, gender",Number,223,units,0,v79583024,4.1.1.1.3.1,1203,,,,0
2021,Nova Scotia,2016A000212,"Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender",Number,223,units,0,v79583028,4.1.1.1.4.1,306,,,,0
2021,Nova Scotia,2016A000212,"Total, institution type","Total, program type","Total, credential type",Humanities [3],"Total, gender",Number,223,units,0,v79583032,4.1.1.1.5.1,516,,,,0
2021,Nova Scotia,2016A000212,"Total, institution type","Total, program type","Total, credential type",Social and behavioural sciences and law [4],"Total, gender",Number,223,units,0,v79583036,4.1.1.1.6.1,2436,,,,0
2021,Nova Scotia,2016A000212,"Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, gender",Number,223,units,0,v79583040,4.1.1.1.7.1,3303,,,,0
2021,Nova Scotia,2016A000212,"Total, institution type","Total, program type","Total, credential type",Physical and life sciences and technologies [6],"Total, gender",Number,223,units,0,v79583044,4.1.1.1.8.1,990,,,,0
2021,Nova Scotia,2016A000212,"Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, gender",Number,223,units,0,v79583048,4.1.1.1.9.1,1140,,,,0
2021,Nova Scotia,2016A000212,"Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, gender",Number,223,units,0,v79583052,4.1.1.1.10.1,2655,,,,0
2021,Nova Scotia,2016A000212,"Total, institution type","Total, program type","Total, credential type","Agriculture, natural resources and conservation [9]","Total, gender",Number,223,units,0,v79583056,4.1.1.1.11.1,564,,,,0
2021,Nova Scotia,2016A000212,"Total, institution type","Total, program type","Total, credential type",Health and related fields [10],"Total, gender",Number,223,units,0,v79583060,4.1.1.1.12.1,2919,,,,0
2021,Nova Scotia,2016A000212,"Total, institution type","Total, program type","Total, credential type","Personal, protective and transportation services [11]","Total, gender",Number,223,units,0,v79583064,4.1.1.1.13.1,270,,,,0
2021,Nova Scotia,2016A000212,"Total, institution type","Total, program type","Total, credential type",Other  [12],"Total, gender",Number,223,units,0,v79583068,4.1.1.1.14.1,465,,,,0
2021,Nova Scotia,2016A000212,"Total, institution type","Total, program type","Total, credential type",Unclassified,"Total, gender",Number,223,units,0,v1446290756,4.1.1.1.15.1,15,,,,0
2021,New Brunswick,2016A000213,"Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, gender",Number,223,units,0,v79585011,5.1.1.1.1.1,8487,,,,0
2021,New Brunswick,2016A000213,"Total, institution type","Total, program type","Total, credential type",Education [1],"Total, gender",Number,223,units,0,v79585015,5.1.1.1.3.1,732,,,,0
2021,New Brunswick,2016A000213,"Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, gender",Number,223,units,0,v79585019,5.1.1.1.4.1,276,,,,0
